id,conducta,texto_legal,articulo,numeral,monto,verificacion,nota_verificacion,nota,correccion,fuente_id,solo_demo
INF-180-1,Bicicleta o motobicicleta sin el equipo básico en buen estado,"Por no tener las bicicletas y motobicicletas, el equipamiento básico en óptimas condiciones de funcionamiento.",180,1,100.00,verificado,,,"La lista recibida hablaba de motocicletas. Este numeral es para bicicletas y motobicicletas. El casco y el chaleco de motociclistas están en el artículo 184, numeral 10.",F-09,no
INF-180-3,Circular por el arcén (la orilla de la carretera) sin causa justificada,Por circular en el arcén sin causa justificada.,180,3,100.00,verificado,,,,F-09,no
INF-180-8,"Conducir usando el teléfono, auriculares u otros aparatos similares","Por conducir utilizando auriculares conectados y aparatos receptores o reproductores de sonido, o utilizando teléfonos, radios comunicadores u otros aparatos similares.",180,8,100.00,numeral_pendiente,La cartilla del Departamento de Tránsito lo numera 8; la compilación de la Municipalidad de Guatemala lo numera 9.,,La lista recibida lo ponía en el artículo 184 (Q 500.00) como uso del teléfono sin manos libres. Está en el artículo 180 (Q 100.00) y el texto no menciona manos libres.,F-09,no
INF-181-1,No portar la tarjeta de circulación ni una fotocopia autenticada,Por circular sin portar la tarjeta de circulación o fotocopia autenticada de la misma.,181,1,200.00,verificado,,,,F-09,no
INF-181-2,Colocar las placas en un lugar no autorizado,Por portar las placas de circulación en lugares no autorizados.,181,2,200.00,verificado,,,,F-09,no
INF-181-14,No respetar la señal de alto o el alto del semáforo,"Por no respetar las señales de tránsito siguientes: Alto; Alto, del semáforo; No hay paso; del Agente, Inspector Ad-honorem o Inspector Escolar; Altura máxima; y Ancho máximo.",181,14,200.00,verificado,,,"La lista recibida lo ponía en el artículo 183 (Q 400.00). Está en el artículo 181, numeral 14 (Q 200.00).",F-09,no
INF-181-34,Circular sin cinturón de seguridad,"Por circular sin cinturones de seguridad, salvo los casos de excepción previstos en el presente reglamento.",181,34,200.00,verificado,,,"La lista recibida lo ponía en el artículo 184 (Q 500.00). Está en el artículo 181, numeral 34 (Q 200.00).",F-09,no
INF-182-1,Conducir con la licencia vencida,Por conducir con licencia vencida.,182,1,300.00,verificado,,,,F-09,no
INF-182-3,Tirar basura u objetos a la calle desde un vehículo,"Por tirar o lanzar basura u otros objetos a la vía pública, desde un vehículo estacionado o en marcha.",182,3,300.00,verificado,,"Si la basura u objetos pueden entorpecer la circulación, el artículo 183, numeral 13, fija Q 400.00.",,F-09,no
INF-183-1,Conducir sin haber obtenido licencia,Por conducir sin tener licencia.,183,1,400.00,verificado,,,,F-09,no
INF-184-1,Circular sin placas,Por circular sin placas de circulación.,184,1,500.00,verificado,,,,F-09,no
INF-184-10,Motociclista o acompañante sin casco protector y chaleco,Cuando los conductores de motocicletas o motobicicletas y sus acompañantes no cumplan con la obligación de portar el casco protector y el chaleco.,184,10,500.00,verificado,,Numeral agregado por una reforma. La compilación de la Municipalidad de Guatemala es anterior y todavía pone el casco en el artículo 180 (Q 100.00). El número del acuerdo que hizo el cambio queda pendiente de verificar.,La lista recibida ubicaba el equipo de seguridad de motocicletas en el artículo 180 (Q 100.00).,F-09,no
INF-185-A2,"Faltar el respeto, ofender, agredir o insultar a la autoridad de tránsito","Faltar el respeto, ofender, agredir o insultar a la autoridad de Tránsito.",185,"literal a), numeral 2",1000.00,verificado,,,,F-09,no
INF-185-B,Poner obstáculos u otros medios en la vía para facilitar carreras sin permiso,"Para quien altere la seguridad del tránsito mediante la colocación de obstáculos imprevisibles o por cualquier otro medio, en la vía pública para facilitar carreras, concursos o actividades similares, sin el permiso correspondiente.",185,literal b),5000.00,verificado,,,"La lista recibida decía 'participar en carreras'. Este literal sanciona a quien facilita las carreras, no a quien participa como conductor.",F-09,no
INF-185-C,Participar como conductor en carreras en la vía pública sin permiso,"Por utilizar la vía pública para carreras, concursos o actividades similares, sin el permiso correspondiente, para cada conductor que participe.",185,literal c),25000.00,verificado,,,"La lista recibida atribuía Q 25,000.00 a conducir bajo efectos de alcohol. En el artículo 185 ese monto corresponde a participar en carreras sin permiso.",F-09,no
INF-DEMO-SIN-MONTO,"Infracción registrada por la municipalidad, sin clasificación confirmada",,,,,pendiente,,Registro ficticio para mostrar qué pasa cuando no se conoce el monto: se indica como pendiente y no se suma al total.,,,si
