id,entidad,titulo,url,jurisdiccion,fecha_consulta,nota
F-01,Catálogo Nacional de Trámites (MINGOB),Desbloqueo de licencias de conducir de juzgados municipales de tránsito,https://tramites.gob.gt/servicio/3142/,Nacional,10/09/2026,Requisito: oficio original de desbloqueo del juzgado. Costo Q 0. Tiempo de respuesta 5 días. Base legal: artículos 40 y 40 bis de la Ley de Tránsito.
F-02,Catálogo Nacional de Trámites (MINGOB),Bloqueo de licencias de conducir de juzgados municipales de tránsito,https://tramites.gob.gt/servicio/3141/,Nacional,10/09/2026,Confirma que quien ordena el bloqueo y el desbloqueo es el juzgado; el Departamento de Tránsito ejecuta.
F-03,Departamento de Tránsito de la PNC,Requisitos para el desbloqueo de licencias de conducir,https://transito.gob.gt/requisitos-para-el-desbloqueo-de-licencias-de-conducir/,Nacional,10/09/2026,Requisitos: solicitud de usuario y orden de desbloqueo emitida por juez competente. El trámite en línea incluye una bitácora donde se ve el avance.
F-04,Departamento de Tránsito de la PNC,Trámites en línea,https://transito.gob.gt/tramites-en-linea/,Nacional,10/09/2026,La plataforma aparece publicada en dos direcciones distintas: tramites.transito.gob.gt y servicios.transito.gob.gt. No pudimos determinar cuál es la vigente.
F-05,Municipalidad de Guatemala,Juzgados de Asuntos Municipales,https://www.muniguate.com/juzgados-de-asuntos-municipales/,Municipio de Guatemala,10/09/2026,"Direcciones, teléfonos y horarios de los juzgados primero, segundo y tercero de tránsito."
F-06,Municipalidad de Villa Nueva,Directorio municipal,https://www.villanueva.gob.gt/directorio/,Municipio de Villa Nueva,10/09/2026,"Edificio municipal en 5a avenida 4-45, zona 1. Conmutador 1581. Juzgado de Asuntos Municipales y de Tránsito con extensiones administrativas y de tránsito."
F-07,Municipalidad de Mixco,Directorio de dependencias municipales (documento fechado 19/02/2018),https://www2.munimixco.gob.gt/wp-content/uploads/2016/02/NUMERAL-2-FEBRERO.pdf,Municipio de Mixco,10/09/2026,"Es la única fuente municipal donde encontramos la dirección del juzgado. El documento es de 2018, por eso marcamos estos datos como pendientes de reconfirmar."
F-08,Municipalidad de Mixco,Sitio oficial y consulta de multas (EMIXTRA),https://munimixco.gob.gt/,Municipio de Mixco,10/09/2026,Conmutador municipal 1593. Consulta de multas en consultas.munimixco.gob.gt/emixtra/consulta.
F-09,Departamento de Tránsito de la PNC,Cartilla de infracciones y sanciones de tránsito (artículos 180 a 185 del Reglamento de Tránsito),https://transito.gob.gt/wp-content/uploads/2021/01/CARTILLA-DE-INFRACCIONES-Y-SANCIONES-DE-TR%C3%81NSITO.pdf,Nacional,10/09/2026,"Fuente principal de montos, artículos y numerales. El documento no muestra fecha; el archivo está publicado en una carpeta de enero de 2021. Ya incluye el casco y el chaleco de motociclistas en el artículo 184. Por su antigüedad, no la tomamos como prueba suficiente de vigencia en 2026."
F-10,Municipalidad de Guatemala,"Reglamento de Tránsito, Acuerdo Gubernativo 273-98, Título VI: Infracciones y sanciones (compilación en línea)",https://www.muniguate.com/images/especiales/reglamento_transito/273_98/06t_01capitulo.htm,Nacional,10/09/2026,"Compilación sin fecha. Coincide con la cartilla en montos, en el cinturón (181, numeral 34) y en el semáforo (181, numeral 14). Es anterior a una reforma: todavía pone 'circular sin casco' en el artículo 180 y numera como 9 el uso del teléfono. La usamos solo para contrastar."
F-11,Departamento de Tránsito de la PNC,Sanciones severas a conductores en estado de ebriedad (nota del 22/11/2024),https://transito.gob.gt/sanciones-severas-a-conductores-en-estado-de-ebriedad/,Nacional,10/09/2026,"Atribuye la sanción por conducir en estado de ebriedad al artículo 157 del Código Penal (multa de Q 5,000 a Q 25,000 y suspensión de la licencia), no al artículo 185 del Reglamento. No pudimos consultar el texto oficial del Código Penal para confirmarlo."
F-12,Agencia Guatemalteca de Noticias (AGN),"Lo que debes saber sobre las reformas a la Ley de Tránsito (Decreto 33-2024), nota del 22/11/2024",https://agn.gt/lo-que-debes-saber-sobre-las-reformas-a-la-ley-de-transito/,Nacional,10/09/2026,"Reforma posterior revisada. Cambia la notificación de las multas (120 días para notificar, 60 días para pagar). La nota no menciona cambios en los montos de los artículos 180 a 185."
F-13,Departamento de Tránsito de la PNC,Reglamento para la contratación del seguro obligatorio (Acuerdos Gubernativos 46-2025 a 49-2025),https://transito.gob.gt/reglamento-para-la-contratacion-del-seguro-obligatorio/,Nacional,10/09/2026,"Reformas posteriores revisadas. Según lo publicado, regulan el seguro obligatorio de vehículos. No pudimos leer el texto completo de los acuerdos para descartar cambios en los artículos 180 a 185."
