id,guia_id,guia_titulo,aplica_a,paso_orden,paso_titulo,paso_detalle,paso_que_llevar,paso_donde,paso_pago,paso_documento,paso_verificacion,paso_aviso,fuente_id
GUIA-GESTION-P1,GUIA-GESTION,Cómo resolverlo,Casos en los que te toca a ti dar el siguiente paso.,1,Ve al juzgado que registró el bloqueo,El bloqueo lo ordenó un Juzgado de Asuntos Municipales de Tránsito. Ahí empieza todo. Lleva tus documentos y pregunta por tu expediente con el código de este caso.,"Tu DPI | Tu licencia de conducir, si la tienes contigo | El código de este caso | Las esquelas o remisiones que tengas, si las conservas",juzgado,Todavía no se paga nada. El juzgado te dirá si tu caso tiene una multa y cuánto es. No pagues a ninguna persona particular ni fuera de las cajas oficiales.,,,,
GUIA-GESTION-P2,GUIA-GESTION,Cómo resolverlo,Casos en los que te toca a ti dar el siguiente paso.,2,Resuelve tu situación con la municipalidad,"El juzgado te indica qué corresponde en tu caso. Si hay una multa, se paga en las cajas de la municipalidad o en los bancos autorizados. Guarda siempre el comprobante.","El comprobante de pago, si pagaste | Cualquier documento que te haya pedido el juzgado",municipalidad,"El monto a pagar lo confirma el juzgado o la municipalidad. Si tu caso tiene una multa relacionada, esta demostración muestra su monto base según el Reglamento de Tránsito, con su artículo. No calcula descuentos, intereses ni recargos.",,,Pagar la multa no levanta el bloqueo por sí solo. El pago resuelve tu situación con la municipalidad; el bloqueo lo levanta el Departamento de Tránsito cuando recibe la orden del juzgado.,
GUIA-GESTION-P3,GUIA-GESTION,Cómo resolverlo,Casos en los que te toca a ti dar el siguiente paso.,3,Pide la orden de desbloqueo,"Cuando tu situación quede resuelta, pide en el mismo juzgado el oficio original de desbloqueo. Este documento es el requisito principal del trámite ante Tránsito.",Tu DPI | El comprobante de que resolviste el caso,juzgado,,"Oficio original de desbloqueo de licencia, emitido por el Juzgado de Asuntos Municipales de Tránsito.",,,
GUIA-GESTION-P4,GUIA-GESTION,Cómo resolverlo,Casos en los que te toca a ti dar el siguiente paso.,4,Presenta la solicitud ante el Departamento de Tránsito,"Con el oficio original en la mano, se presenta la solicitud de desbloqueo. Según el Catálogo Nacional de Trámites, este trámite no tiene costo y se resuelve en 5 días.",Oficio original de desbloqueo | Tu DPI | El formulario de trámites del Departamento de Tránsito,transito,"Q 0. Según el Catálogo Nacional de Trámites, el desbloqueo de licencias de juzgados municipales no tiene costo.",,,,F-01
GUIA-GESTION-P5,GUIA-GESTION,Cómo resolverlo,Casos en los que te toca a ti dar el siguiente paso.,5,Confirma que el bloqueo se levantó,"No des el caso por cerrado hasta que el Departamento de Tránsito emita la resolución. En la plataforma de trámites en línea puedes revisar la bitácora, que muestra el avance de tu solicitud.",El número de trámite que te dieron al presentar la solicitud,transito,,Resolución del Departamento de Tránsito.,"El bloqueo está levantado únicamente cuando el Departamento de Tránsito lo resuelve. Ni el pago ni la orden del juzgado, por sí solos, lo levantan.",,F-03
GUIA-JUZGADO-ESPERA-P1,GUIA-JUZGADO-ESPERA,Cómo resolverlo,Casos que están en manos del juzgado.,1,Ahora le toca al juzgado,Tu solicitud fue recibida. En este momento no tienes que hacer ningún trámite nuevo. Guarda el código de tu caso.,,,,,,,
GUIA-JUZGADO-ESPERA-P2,GUIA-JUZGADO-ESPERA,Cómo resolverlo,Casos que están en manos del juzgado.,2,Consulta si pasa el plazo,"Si el juzgado te dio un plazo y ya pasó, llama y pregunta por tu expediente. Ten a mano el código de este caso.",El código de este caso | Tu DPI,juzgado,,,,,
GUIA-JUZGADO-ESPERA-P3,GUIA-JUZGADO-ESPERA,Cómo resolverlo,Casos que están en manos del juzgado.,3,Recoge el oficio original de desbloqueo,"Cuando el juzgado resuelva, te entregará el oficio original de desbloqueo. Revisa que tus datos estén correctos antes de retirarte.",Tu DPI,juzgado,,Oficio original de desbloqueo de licencia.,,,
GUIA-JUZGADO-ESPERA-P4,GUIA-JUZGADO-ESPERA,Cómo resolverlo,Casos que están en manos del juzgado.,4,Presenta la solicitud ante el Departamento de Tránsito,Con el oficio original se presenta la solicitud de desbloqueo. Según el Catálogo Nacional de Trámites no tiene costo y se resuelve en 5 días.,Oficio original de desbloqueo | Tu DPI,transito,Q 0 según el Catálogo Nacional de Trámites.,,,,F-01
GUIA-JUZGADO-ESPERA-P5,GUIA-JUZGADO-ESPERA,Cómo resolverlo,Casos que están en manos del juzgado.,5,Confirma que el bloqueo se levantó,Revisa la bitácora de tu trámite en la plataforma de Tránsito hasta que aparezca la resolución.,El número de trámite,transito,,Resolución del Departamento de Tránsito.,El bloqueo está levantado únicamente cuando el Departamento de Tránsito lo resuelve.,,F-03
